"","loan_status","loan_amnt","grade","home_ownership","annual_inc","age","ir_cat","emp_cat"
"59",0,5500,"D","RENT",34000,26,"13.5+","0-15"
"60",0,9600,"A","RENT",80000,26,"Missing","0-15"
"61",0,15000,"B","MORTGAGE",140000,28,"8-11","0-15"
"62",0,10000,"A","RENT",56000,24,"0-8","0-15"
"63",0,18000,"C","OTHER",72204,22,"11-13.5","15-30"
"64",0,24250,"E","OWN",80000,26,"Missing","0-15"
"65",0,25000,"B","RENT",54996,22,"Missing","15-30"
"66",1,2200,"A","MORTGAGE",45000,31,"0-8","0-15"
"67",0,14400,"B","MORTGAGE",87663,24,"Missing","0-15"
"68",0,9500,"A","RENT",70000,33,"Missing","0-15"
"69",0,7400,"A","MORTGAGE",76160,26,"0-8","15-30"
"70",0,4800,"A","MORTGAGE",1e+05,29,"0-8","0-15"
"71",0,3000,"A","RENT",39000,28,"0-8","0-15"
"72",0,12000,"B","MORTGAGE",1e+05,25,"8-11","0-15"
"73",0,18000,"D","MORTGAGE",70000,22,"13.5+","0-15"
"74",1,24250,"D","RENT",136000,31,"13.5+","0-15"
"75",1,2500,"C","RENT",18984,22,"13.5+","15-30"
"76",0,24250,"B","RENT",2e+05,28,"11-13.5","0-15"
"77",0,14100,"A","RENT",83203.68,30,"0-8","0-15"
"78",0,8575,"C","MORTGAGE",63000,28,"11-13.5","0-15"
"79",1,5000,"B","RENT",49800,45,"Missing","0-15"
"80",1,10000,"C","MORTGAGE",80000,36,"11-13.5","0-15"
"81",0,7000,"A","MORTGAGE",79000,29,"Missing","0-15"
"82",0,4000,"A","RENT",22000,27,"0-8","0-15"
"83",0,14000,"A","RENT",64000,22,"0-8","0-15"
"84",0,10000,"A","MORTGAGE",80000,43,"Missing","0-15"
"85",1,10000,"B","RENT",54996,28,"8-11","0-15"
"86",0,6000,"B","MORTGAGE",57600,22,"8-11","15-30"
"87",0,25000,"D","MORTGAGE",3e+05,32,"13.5+","0-15"
"88",0,10000,"B","RENT",48000,23,"8-11","0-15"
"89",1,3000,"C","MORTGAGE",58000,27,"13.5+","15-30"
"90",0,10000,"A","RENT",42000,23,"0-8","0-15"
"91",0,10000,"C","RENT",65000,30,"11-13.5","0-15"
"92",0,7000,"A","RENT",25000,27,"8-11","0-15"
"93",1,3000,"A","MORTGAGE",48000,37,"0-8","Missing"
"94",0,9800,"A","RENT",60000,25,"Missing","0-15"
"95",0,6000,"A","RENT",29000,23,"0-8","0-15"
"96",0,15000,"A","MORTGAGE",175000,29,"8-11","0-15"
"97",0,8800,"B","MORTGAGE",60000,22,"8-11","0-15"
"98",0,12000,"B","RENT",50600,27,"8-11","0-15"
"99",0,35000,"E","MORTGAGE",3e+05,37,"13.5+","15-30"
"100",0,10000,"A","MORTGAGE",122400,32,"0-8","15-30"
"101",0,24000,"B","RENT",88596,26,"11-13.5","0-15"
"102",0,6000,"B","MORTGAGE",63996,24,"8-11","0-15"
"103",0,8000,"C","RENT",33000,23,"Missing","0-15"
"104",1,3500,"D","MORTGAGE",97992,22,"13.5+","15-30"
"105",0,8000,"C","RENT",48500,24,"13.5+","0-15"
"106",0,10000,"A","MORTGAGE",110000,34,"0-8","0-15"
"107",0,15000,"D","OWN",80000,35,"13.5+","0-15"
"108",0,16800,"B","RENT",34819,22,"8-11","0-15"
"109",0,8800,"D","RENT",46296,29,"13.5+","0-15"
"110",0,9600,"C","RENT",60000,23,"13.5+","0-15"
"111",0,2100,"B","MORTGAGE",30000,48,"11-13.5","15-30"
"112",0,3600,"D","RENT",48000,23,"13.5+","0-15"
"113",0,12000,"B","RENT",47840,23,"11-13.5","0-15"
"114",0,6000,"A","MORTGAGE",75000,23,"0-8","0-15"
"115",0,16000,"C","MORTGAGE",68000,39,"11-13.5","0-15"
"116",0,3000,"C","RENT",85000,41,"11-13.5","0-15"
"117",1,6000,"B","RENT",47000,25,"11-13.5","0-15"
"118",0,15000,"C","MORTGAGE",1e+05,26,"13.5+","0-15"
"119",0,3500,"A","RENT",8400,26,"0-8","Missing"
"120",0,5000,"D","OWN",36000,22,"13.5+","0-15"
"121",0,12600,"B","RENT",110000,22,"8-11","0-15"
"122",0,6000,"A","RENT",58000,22,"0-8","0-15"
"123",0,10000,"D","RENT",33000,21,"Missing","0-15"
"124",1,6700,"A","RENT",12000,22,"0-8","0-15"
"125",0,10000,"B","RENT",68000,27,"Missing","0-15"
"126",1,10000,"C","MORTGAGE",23000,25,"Missing","0-15"
"127",0,3100,"B","RENT",20000,25,"11-13.5","0-15"
"128",0,8000,"B","MORTGAGE",51000,24,"8-11","0-15"
"129",0,15000,"C","RENT",85100,24,"Missing","0-15"
"130",0,5400,"A","RENT",8000,22,"0-8","0-15"
"131",0,6000,"A","MORTGAGE",70000,34,"Missing","0-15"
"132",0,4500,"A","OWN",23000,31,"0-8","0-15"
"133",0,5000,"C","RENT",54396,35,"11-13.5","0-15"
"134",0,3600,"A","RENT",51300,25,"0-8","0-15"
"135",1,5000,"A","MORTGAGE",88000,28,"8-11","15-30"
"136",1,10000,"A","MORTGAGE",135000,31,"0-8","0-15"
"137",0,4000,"C","RENT",65499,25,"11-13.5","0-15"
"138",0,5000,"B","RENT",34992,22,"Missing","0-15"
"139",0,8000,"C","MORTGAGE",52500,22,"13.5+","0-15"
"140",1,5000,"A","MORTGAGE",1e+05,27,"8-11","15-30"
"141",0,25000,"C","MORTGAGE",85000,22,"11-13.5","0-15"
"142",0,1500,"B","RENT",36000,21,"8-11","0-15"
"143",0,5500,"A","RENT",23000,24,"0-8","0-15"
"144",0,12000,"A","OWN",69000,37,"8-11","0-15"
"145",0,5300,"C","RENT",28800,24,"13.5+","0-15"
"146",0,13225,"D","RENT",40000,22,"13.5+","0-15"
"147",0,5000,"A","MORTGAGE",45000,24,"Missing","0-15"
"148",0,1200,"A","MORTGAGE",60000,26,"0-8","15-30"
"149",0,3075,"C","MORTGAGE",32678.4,32,"13.5+","0-15"
"150",0,8000,"A","RENT",39996,35,"0-8","0-15"
"151",0,2500,"D","MORTGAGE",70000,21,"13.5+","Missing"
"152",1,2400,"C","RENT",18000,26,"11-13.5","0-15"
"153",0,10000,"B","MORTGAGE",75000,32,"11-13.5","0-15"
"154",0,2500,"D","OWN",24000,31,"Missing","0-15"
"155",0,14000,"C","MORTGAGE",70000,33,"11-13.5","0-15"
"156",0,10000,"A","RENT",84000,23,"0-8","15-30"
"157",0,15000,"B","MORTGAGE",95000,31,"11-13.5","0-15"
"158",0,8000,"A","OWN",32800,23,"0-8","0-15"
"159",0,7000,"D","RENT",47000,21,"13.5+","0-15"
"160",0,6000,"A","RENT",55000,22,"8-11","0-15"
"161",0,3000,"A","OWN",30000,25,"8-11","0-15"
"162",0,1600,"C","OWN",38600,29,"11-13.5","0-15"
"163",0,8000,"A","RENT",80000,26,"0-8","0-15"
"164",0,2400,"B","RENT",45000,32,"11-13.5","0-15"
"165",0,8800,"A","RENT",93200,28,"0-8","0-15"
"166",1,25000,"B","MORTGAGE",80000,23,"11-13.5","0-15"
"167",0,6400,"C","MORTGAGE",97000,24,"13.5+","0-15"
"168",0,2400,"C","RENT",67000,26,"11-13.5","0-15"
"169",1,12250,"D","RENT",30000,22,"13.5+","0-15"
"170",0,21000,"A","MORTGAGE",216000,23,"8-11","0-15"
"171",0,3600,"D","MORTGAGE",40900,22,"13.5+","0-15"
"172",0,7000,"A","MORTGAGE",120000,27,"0-8","0-15"
"173",0,7500,"A","RENT",30000,24,"0-8","0-15"
"174",0,2000,"B","RENT",33600,29,"11-13.5","0-15"
"175",0,2000,"A","RENT",33000,22,"Missing","0-15"
"176",1,10000,"C","RENT",32000,23,"11-13.5","15-30"
"177",0,1000,"C","MORTGAGE",55536,30,"Missing","15-30"
"178",0,12000,"A","MORTGAGE",50000,24,"0-8","0-15"
"179",0,21000,"D","MORTGAGE",90000,27,"13.5+","15-30"
"180",0,30000,"A","RENT",120000,25,"0-8","15-30"
"181",0,12000,"B","RENT",34999,29,"11-13.5","0-15"
"182",0,10000,"C","OTHER",40104,23,"11-13.5","0-15"
"183",0,6000,"C","RENT",31200,26,"13.5+","0-15"
"184",0,14000,"B","RENT",42000,27,"8-11","0-15"
"185",0,11000,"F","MORTGAGE",63000,25,"Missing","0-15"
"186",0,6000,"B","RENT",16000,21,"8-11","15-30"
"187",0,4200,"A","RENT",23520,23,"Missing","0-15"
"188",0,10000,"B","MORTGAGE",67000,32,"8-11","0-15"
"189",0,28000,"B","RENT",1e+05,25,"11-13.5","0-15"
"190",0,8000,"A","MORTGAGE",107364,28,"0-8","0-15"
"191",0,20000,"B","OWN",150000,33,"11-13.5","15-30"
"192",0,6300,"C","MORTGAGE",44004,22,"11-13.5","0-15"
"193",0,5000,"B","OWN",35000,23,"11-13.5","15-30"
"194",0,25000,"B","MORTGAGE",150000,22,"11-13.5","0-15"
"195",0,5600,"A","RENT",56000,26,"8-11","0-15"
"196",0,19600,"B","MORTGAGE",60000,35,"8-11","0-15"
"197",1,8000,"D","RENT",50000,21,"13.5+","0-15"
"198",0,20000,"B","MORTGAGE",75000,25,"8-11","0-15"
"199",0,21000,"C","MORTGAGE",75000,30,"13.5+","0-15"
"200",0,4000,"B","MORTGAGE",40000,22,"8-11","15-30"
"201",0,10000,"A","MORTGAGE",116000,46,"0-8","0-15"
"202",0,18500,"B","MORTGAGE",66000,25,"11-13.5","0-15"
"203",0,9000,"A","RENT",45000,22,"0-8","0-15"
"204",0,5000,"A","RENT",75000,22,"0-8","0-15"
"205",0,17525,"C","MORTGAGE",151800,30,"11-13.5","0-15"
"206",0,6000,"A","MORTGAGE",35000,22,"0-8","0-15"
"207",0,10000,"C","MORTGAGE",48000,29,"11-13.5","0-15"
"208",0,20000,"B","RENT",90000,23,"11-13.5","0-15"
"209",1,6000,"D","RENT",18835.2,27,"13.5+","0-15"
"210",0,2000,"A","MORTGAGE",35000,30,"0-8","15-30"
"211",0,5000,"C","OWN",24000,22,"11-13.5","0-15"
"212",0,8000,"A","RENT",32000,48,"0-8","0-15"
"213",0,5750,"A","RENT",17000,21,"8-11","0-15"
"214",0,6000,"C","MORTGAGE",195000,34,"13.5+","0-15"
"215",0,10000,"E","RENT",87996,24,"13.5+","0-15"
"216",1,20000,"B","RENT",85000,29,"11-13.5","0-15"
"217",1,15200,"C","MORTGAGE",125000,29,"13.5+","0-15"
"218",0,13000,"C","RENT",65004,32,"11-13.5","0-15"
"219",0,6000,"A","MORTGAGE",45600,21,"0-8","15-30"
"220",0,5000,"A","RENT",64000,38,"0-8","0-15"
"221",0,18200,"B","RENT",36000,24,"8-11","0-15"
"222",0,8600,"A","MORTGAGE",53724,23,"0-8","0-15"
"223",0,12000,"E","RENT",73660,27,"13.5+","0-15"
"224",0,20000,"B","RENT",48000,22,"8-11","0-15"
"225",0,7500,"B","RENT",40000,28,"11-13.5","0-15"
"226",0,6000,"B","RENT",20000,30,"Missing","0-15"
"227",0,9600,"D","OWN",51996,27,"13.5+","0-15"
"228",0,2500,"B","RENT",38060,25,"11-13.5","15-30"
"229",0,10000,"B","RENT",49920,22,"11-13.5","0-15"
"230",0,10000,"D","MORTGAGE",61000,24,"13.5+","0-15"
"231",0,10000,"B","OWN",80000,32,"11-13.5","0-15"
"232",0,1750,"C","RENT",10000,22,"13.5+","Missing"
"233",1,1600,"B","RENT",18000,33,"8-11","0-15"
"234",0,20000,"B","MORTGAGE",56000,22,"8-11","0-15"
"235",1,9950,"C","RENT",30784,33,"11-13.5","0-15"
"236",0,22000,"C","MORTGAGE",90000,33,"11-13.5","0-15"
"237",0,10000,"A","MORTGAGE",60000,22,"Missing","0-15"
"238",0,25000,"B","RENT",72000,27,"8-11","0-15"
"239",1,7200,"C","RENT",31000,29,"11-13.5","0-15"
"240",0,12500,"A","MORTGAGE",92800,28,"8-11","0-15"
"241",0,15000,"D","RENT",90000,30,"13.5+","0-15"
"242",0,20000,"A","OWN",85000,27,"0-8","0-15"
"243",0,5850,"B","RENT",44000,48,"8-11","0-15"
"244",0,2000,"A","MORTGAGE",30000,22,"0-8","0-15"
"245",0,10000,"B","OWN",34500,33,"8-11","0-15"
"246",0,8000,"A","RENT",68500,27,"0-8","0-15"
"247",0,15000,"B","RENT",95000,25,"11-13.5","0-15"
"248",0,4250,"A","MORTGAGE",72000,33,"0-8","0-15"
"249",1,19600,"D","RENT",77000,33,"13.5+","15-30"
"250",0,20000,"A","MORTGAGE",112976,23,"0-8","0-15"
"251",0,1500,"B","RENT",57996,24,"8-11","0-15"
"252",0,7000,"A","RENT",38000,26,"0-8","0-15"
"253",0,9250,"B","RENT",28000,30,"11-13.5","0-15"
"254",0,20000,"D","MORTGAGE",114000,32,"13.5+","15-30"
"255",0,12250,"A","MORTGAGE",45000,46,"0-8","0-15"
"256",1,2500,"A","RENT",150000,44,"0-8","0-15"
"257",0,25000,"B","MORTGAGE",90000,28,"11-13.5","0-15"
"258",0,6000,"C","RENT",40000,27,"11-13.5","0-15"
"259",0,10000,"C","RENT",45000,24,"11-13.5","0-15"
"260",0,7800,"B","MORTGAGE",74000,28,"8-11","0-15"
"261",0,3000,"B","MORTGAGE",65200,24,"11-13.5","0-15"
"262",0,25000,"D","MORTGAGE",78000,23,"13.5+","0-15"
"263",0,3250,"D","OWN",25920,24,"13.5+","0-15"
"264",0,7000,"A","MORTGAGE",1e+05,28,"8-11","0-15"
"265",0,7000,"A","MORTGAGE",70000,26,"0-8","0-15"
"266",0,12250,"B","RENT",36000,24,"11-13.5","0-15"
"267",0,7500,"A","MORTGAGE",40800,26,"0-8","0-15"
"268",1,8000,"C","RENT",39100,39,"13.5+","0-15"
"269",0,8000,"A","MORTGAGE",53000,24,"0-8","15-30"
"270",0,5000,"A","RENT",61000,22,"0-8","0-15"
"271",1,8475,"B","RENT",38423.87,32,"Missing","0-15"
"272",0,12000,"A","OWN",110400,21,"Missing","0-15"
"273",0,5000,"C","MORTGAGE",36000,30,"13.5+","0-15"
"274",1,10000,"B","RENT",36000,27,"8-11","0-15"
"275",0,7200,"B","RENT",40000,42,"8-11","0-15"
"276",0,4000,"A","MORTGAGE",58500,23,"0-8","0-15"
"277",0,16000,"D","RENT",68000,30,"13.5+","0-15"
"278",0,7100,"B","OWN",24000,24,"11-13.5","0-15"
"279",0,2400,"B","RENT",14000,37,"Missing","0-15"
"280",0,9600,"A","MORTGAGE",54000,26,"0-8","0-15"
"281",0,9000,"A","RENT",52800,24,"0-8","0-15"
"282",0,3000,"D","RENT",70000,24,"13.5+","0-15"
"283",0,8000,"D","RENT",56000,31,"13.5+","0-15"
"284",0,6000,"A","MORTGAGE",135000,24,"0-8","0-15"
"285",0,30000,"D","MORTGAGE",68000,27,"13.5+","0-15"
"286",0,8800,"A","RENT",48000,22,"0-8","0-15"
"287",0,7000,"A","RENT",46000,23,"0-8","0-15"
"288",0,6200,"A","MORTGAGE",76800,36,"0-8","15-30"
"289",0,6400,"D","RENT",50000,32,"Missing","15-30"
"290",0,10000,"C","RENT",50911.2,32,"11-13.5","0-15"
"291",0,2500,"B","MORTGAGE",40000,24,"8-11","0-15"
"292",1,5000,"B","RENT",69600,30,"8-11","0-15"
"293",0,2500,"A","RENT",15600,23,"0-8","Missing"
"294",0,16000,"A","MORTGAGE",150000,42,"8-11","0-15"
"295",0,25000,"B","RENT",84996,36,"11-13.5","0-15"
"296",0,4000,"B","MORTGAGE",170000,28,"Missing","0-15"
"297",0,1500,"B","RENT",45000,26,"8-11","0-15"
"298",1,14800,"F","MORTGAGE",60000,29,"13.5+","0-15"
"299",0,13750,"A","RENT",35000,25,"0-8","0-15"
"300",0,4000,"C","MORTGAGE",103000,23,"11-13.5","0-15"
"301",0,3000,"B","RENT",50000,22,"8-11","0-15"
"302",0,35000,"E","RENT",150000,33,"13.5+","0-15"
"303",0,25600,"A","MORTGAGE",192000,37,"0-8","0-15"
"304",0,24000,"B","RENT",52000,25,"8-11","Missing"
"305",0,2400,"B","RENT",15000,49,"8-11","0-15"
"306",0,11200,"B","RENT",150000,50,"11-13.5","0-15"
"307",0,18000,"B","MORTGAGE",68000,31,"8-11","0-15"
"308",0,20000,"B","MORTGAGE",89800,22,"11-13.5","0-15"
"309",0,16000,"B","MORTGAGE",86000,23,"11-13.5","0-15"
"310",0,3000,"A","MORTGAGE",48000,30,"0-8","0-15"
"311",1,10000,"A","MORTGAGE",50000,26,"0-8","0-15"
"312",0,5000,"A","OWN",39124,22,"0-8","0-15"
"313",0,1500,"B","RENT",35000,23,"8-11","0-15"
"314",0,7500,"B","RENT",47500,21,"8-11","0-15"
"315",0,20000,"B","MORTGAGE",56533,24,"11-13.5","Missing"
"316",1,10000,"A","RENT",57000,22,"0-8","15-30"
"317",0,10000,"B","RENT",27000,23,"Missing","0-15"
"318",0,11000,"A","RENT",48996,25,"0-8","0-15"
"319",0,16000,"C","RENT",47831,28,"13.5+","0-15"
"320",0,4800,"C","RENT",105000,24,"Missing","0-15"
"321",0,12000,"A","RENT",42000,32,"0-8","0-15"
"322",0,5000,"B","RENT",40000,23,"11-13.5","0-15"
"323",0,5000,"A","MORTGAGE",51996,28,"0-8","0-15"
"324",0,8000,"B","RENT",65000,24,"11-13.5","0-15"
"325",0,12000,"D","RENT",50000,25,"13.5+","0-15"
"326",0,3000,"B","RENT",45000,24,"8-11","0-15"
"327",0,6000,"B","RENT",95000,24,"8-11","0-15"
"328",0,19000,"B","RENT",73000,24,"8-11","15-30"
"329",0,8000,"B","RENT",65004,38,"11-13.5","0-15"
"330",0,15000,"C","RENT",60132,22,"13.5+","0-15"
"331",0,14000,"A","MORTGAGE",2e+05,36,"0-8","0-15"
"332",0,1000,"B","RENT",40000,23,"8-11","0-15"
"333",0,10000,"C","RENT",47500,31,"13.5+","0-15"
"334",0,12000,"C","RENT",48000,25,"11-13.5","0-15"
"335",0,20000,"C","MORTGAGE",75000,34,"11-13.5","0-15"
"336",0,20000,"B","RENT",75000,25,"8-11","0-15"
"337",0,24000,"A","MORTGAGE",150000,40,"0-8","15-30"
"338",0,15000,"B","MORTGAGE",1e+05,25,"Missing","0-15"
"339",1,5250,"A","RENT",24000,23,"0-8","0-15"
"340",0,10000,"C","RENT",65000,30,"13.5+","0-15"
"341",0,12500,"B","RENT",31000,23,"8-11","0-15"
"342",0,10000,"A","MORTGAGE",44500,28,"8-11","0-15"
"343",0,5000,"A","MORTGAGE",68000,42,"0-8","0-15"
"344",0,14400,"B","OWN",28000,30,"11-13.5","15-30"
"345",0,10000,"A","RENT",45000,23,"0-8","15-30"
"346",0,10000,"A","MORTGAGE",1e+05,28,"0-8","0-15"
"347",0,2000,"A","MORTGAGE",35000,31,"Missing","0-15"
"348",0,10800,"A","MORTGAGE",110000,25,"0-8","0-15"
"349",0,9600,"B","RENT",46000,22,"8-11","0-15"
"350",0,4400,"A","MORTGAGE",61104,28,"8-11","0-15"
"351",0,1000,"B","MORTGAGE",70000,25,"11-13.5","0-15"
"352",0,8400,"B","MORTGAGE",65454,25,"11-13.5","0-15"
"353",1,3000,"B","RENT",40000,28,"8-11","0-15"
"354",0,18000,"C","MORTGAGE",85000,30,"11-13.5","0-15"
"355",0,1200,"D","RENT",35004,22,"13.5+","0-15"
"356",1,7000,"A","OWN",27600,24,"0-8","0-15"
"357",0,8000,"A","MORTGAGE",61200,30,"0-8","Missing"
"358",1,25000,"B","MORTGAGE",65000,21,"8-11","15-30"
"359",0,20000,"E","MORTGAGE",115000,32,"13.5+","0-15"
"360",0,5000,"B","MORTGAGE",95000,26,"8-11","0-15"
"361",0,10500,"C","RENT",51504,38,"11-13.5","0-15"
"362",0,11200,"C","RENT",54000,23,"13.5+","0-15"
"363",0,1500,"A","RENT",19200,27,"0-8","0-15"
"364",1,12000,"A","MORTGAGE",80000,25,"0-8","0-15"
"365",0,10000,"B","RENT",38004,22,"8-11","0-15"
"366",0,9600,"C","RENT",25000,28,"13.5+","0-15"
"367",0,6250,"C","RENT",21000,21,"13.5+","0-15"
"368",0,15000,"B","MORTGAGE",50000,24,"8-11","0-15"
"369",0,1000,"B","RENT",12000,25,"8-11","0-15"
"370",0,20000,"C","RENT",55000,27,"11-13.5","0-15"
"371",0,6600,"C","RENT",41000,26,"13.5+","0-15"
"372",0,3000,"A","RENT",17916,21,"0-8","0-15"
"373",0,8000,"A","RENT",45996,22,"0-8","0-15"
"374",1,12000,"D","MORTGAGE",44004,27,"13.5+","0-15"
"375",1,3200,"D","RENT",60000,22,"13.5+","0-15"
"376",0,5000,"B","RENT",42000,32,"8-11","0-15"
"377",0,12000,"C","RENT",136000,26,"13.5+","0-15"
"378",1,4000,"B","MORTGAGE",60000,22,"11-13.5","0-15"
"379",0,1000,"D","RENT",24000,33,"13.5+","Missing"
"380",0,5000,"A","MORTGAGE",80000,29,"0-8","0-15"
"381",0,5000,"B","RENT",40000,25,"11-13.5","0-15"
"382",0,15000,"C","MORTGAGE",80300,34,"11-13.5","0-15"
"383",1,10000,"D","OWN",36000,36,"13.5+","0-15"
"384",0,6000,"C","MORTGAGE",50000,31,"11-13.5","0-15"
"385",0,2000,"C","RENT",89100,25,"11-13.5","0-15"
"386",0,9700,"C","MORTGAGE",180000,26,"13.5+","0-15"
"387",0,3000,"B","RENT",56400,27,"11-13.5","0-15"
"388",1,10500,"D","RENT",50000,30,"13.5+","0-15"
"389",0,8000,"B","MORTGAGE",63189,23,"8-11","0-15"
"390",0,6000,"B","MORTGAGE",68000,30,"8-11","0-15"
"391",0,7350,"B","MORTGAGE",48000,25,"11-13.5","0-15"
"392",0,4200,"B","RENT",55000,41,"11-13.5","0-15"
"393",1,14500,"A","MORTGAGE",76500,26,"0-8","0-15"
"394",1,4000,"D","MORTGAGE",25344,24,"13.5+","0-15"
"395",1,6250,"C","OWN",14400,21,"13.5+","0-15"
"396",0,3000,"B","MORTGAGE",31200,37,"8-11","0-15"
"397",0,8000,"B","RENT",47000,22,"11-13.5","0-15"
"398",1,4750,"E","MORTGAGE",31200,25,"Missing","0-15"
"399",0,8000,"B","RENT",30000,22,"11-13.5","0-15"
"400",0,7500,"A","OWN",28800,24,"8-11","Missing"
"401",0,24000,"B","MORTGAGE",177160,25,"11-13.5","0-15"
"402",0,6000,"B","MORTGAGE",96000,30,"11-13.5","0-15"
"403",1,2900,"B","MORTGAGE",70992,24,"8-11","0-15"
"404",0,9600,"D","RENT",90000,25,"13.5+","0-15"
"405",0,2000,"C","MORTGAGE",51024,24,"11-13.5","15-30"
"406",0,3025,"A","MORTGAGE",2e+05,24,"0-8","0-15"
"407",0,2000,"B","RENT",80000,25,"11-13.5","15-30"
"408",0,10000,"A","MORTGAGE",160000,37,"0-8","0-15"
"409",0,12000,"C","MORTGAGE",46000,30,"Missing","0-15"
"410",0,18000,"C","RENT",61500,25,"11-13.5","0-15"
"411",0,10000,"A","RENT",64900,31,"0-8","0-15"
"412",0,6000,"C","RENT",24000,24,"11-13.5","Missing"
"413",0,13000,"A","MORTGAGE",37200,24,"0-8","0-15"
"414",0,19600,"E","MORTGAGE",75000,23,"13.5+","0-15"
"415",0,11300,"C","RENT",60000,42,"13.5+","0-15"
"416",0,14000,"D","MORTGAGE",88000,31,"13.5+","0-15"
"417",1,7000,"B","RENT",50004,21,"11-13.5","0-15"
"418",1,3500,"B","RENT",55000,32,"8-11","0-15"
"419",0,11500,"C","RENT",32000,29,"13.5+","0-15"
"420",0,13000,"A","MORTGAGE",61300,22,"8-11","0-15"
"421",1,4800,"D","RENT",75000,24,"13.5+","0-15"
"422",0,2400,"A","RENT",40000,25,"0-8","15-30"
"423",0,8000,"F","RENT",41000,21,"13.5+","0-15"
"424",0,6000,"C","OWN",88000,60,"Missing","0-15"
"425",1,6500,"D","MORTGAGE",73000,26,"13.5+","0-15"
"426",0,30000,"F","MORTGAGE",1e+05,24,"13.5+","0-15"
"427",0,3000,"B","MORTGAGE",66000,23,"Missing","0-15"
"428",0,2000,"B","RENT",42000,25,"8-11","0-15"
"429",1,7200,"A","RENT",68000,23,"0-8","0-15"
